,이름,평점,주소,카테고리,조회수
234,erolpa,0.0,서울특별시 성동구 둘레7길 15 ,카페/디저트,540
235,컨템포,0.0,서울특별시 성동구 연무장길 7-1 ,카페/디저트,458
236,로우커피스탠드,4.6,서울 성동구 왕십리로4길 28-2,카페/디저트,4065
237,제인마치메종,0.0,서울특별시 성동구 성수동1가 656-89 ,카페/디저트,1020
238,어라운드데이,0.0,서울 성동구 서울숲2길 24-1,카페/디저트,401
239,페이퍼 크라운,0.0,서울특별시 성동구 아차산로11길 28 ,카페/디저트,562
240,색다른면,0.0,서울특별시 성동구 뚝섬로9길 16 ,한식,747
241,카머스,0.0,서울 성동구 성수이로 71,카페/디저트,423
242,치카치카,0.0,서울 성동구 성수이로3길 16,카페/디저트,1192
243,용짜장,0.0,서울 성동구 아차산로7길 28,일/중/아시아,1402
244,훔볼트,0.0,서울 성동구 성수이로 58,카페/디저트,787
245,까까를로,4.0,서울특별시 성동구 왕십리로8길 21 ,양식,1351
246,에이투비,4.0,서울특별시 성동구 아차산로 135 ,카페/디저트,1406
247,엘더버거,3.5,서울특별시 성동구 서울숲2길 40-7 ,양식,4080
248,이로우,4.0,서울특별시 성동구 연무장길 12,일식/중식/세계음식,700
249,팜프레시 팩토리,3.0,서울특별시 성동구 성수이로14길 14 (주)대경케미칼 ,양식,1434
250,청시행 부산광안점,5.0,부산 수영구 광안로61번길 17,양식,1405
251,스시라온,0.0,서울특별시 성동구 성수일로 10 서울숲 ITCT 지식산업센터 ,일/중/아시아,59
252,파라디,0.0,서울특별시 성동구 뚝섬로9길 3-1 ,나이트라이프,202
253,비놈,0.0,서울특별시 성동구 성수이로3길 10-1 ,양식,137
254,가내수공업고깃집,0.0,서울특별시 성동구 둘레1길 12 ,고기,285
255,먼치스앤구디스,0.0,서울특별시 성동구 연무장길 33 ,일/중/아시아,275
256,세븐갈비,0.0,서울특별시 왕십리로5길 14  ,고기,180
257,세이지,0.0,서울특별시 성동구 연무장9길 7 ,양식,131
258,플라츠,0.0,서울특별시 성동구 연무장길 33,카페/디저트,117
259,피치스 도원,0.0,서울특별시 성동구 연무장3길 9 ,카페/디저트,278
260,카페 노티드 피치스,0.0,서울특별시 성동구 연무장3길 9,카페/디저트,248
261,뚝도농원,0.0,서울특별시 성동구 아차산로 82  ,고기,978
262,기와르,0.0,서울특별시 성동구 광나루로 233 ,카페/디저트,226
263,부산 돼지국밥 밀면,0.0,서울특별시 성동구 왕십리로10길 10-1,한식,460
264,직화삼곱,0.0,서울특별시 성동구 아차산로 97 ,한식,377
265,높은산,0.0,서울특별시 성동구 성수이로 18-1,카페/디저트,203
266,프롤라,0.0,서울특별시 성동구 연무장17길 5 ,카페/디저트,457
267,DODODO,0.0,서울특별시 성동구 성덕정17길 4-1 ,나이트라이프,651
268,필살기CAFE,0.0,서울특별시 성동구 상원길 48-1 ,카페/디저트,1017
269,마르코웍스,0.0,서울특별시 성동구 아차산로 126 ,카페/디저트,538
270,오후,0.0,서울특별시 성동구 서울숲2길 44-7 ,일/중/아시아,165
271,서울앵무새,0.0,서울특별시 성동구 서울숲9길 3 ,카페/디저트,1838
272,스몰글라스,0.0,서울특별시 성동구 뚝섬로3길 22,나이트라이프,1086
273,미크 컴퍼니,0.0,서울특별시 성동구 아차산로1가길 11 ,카페/디저트,341
274,동구식당,0.0,서울특별시 성동구 연무장길 17 ,한식,530
275,레스트인피자,0.0,서울특별시 성동구 아차산로7길 11 ,양식,902
276,모어딥,0.0,서울특별시 성동구 성수동1가 13-195 ,카페/디저트,452
277,오우드,0.0,서울특별시 성동구 연무장길 101-1,카페/디저트,531
278,원앤하프,0.0,서울특별시 성동구 서울숲4길 18-8 ,나이트라이프,489
279,대낚식당,0.0,서울특별시 성동구 성수이로7가길 15 ,한식,1078
280,록멘,0.0,서울특별시 성동구 성수일로3길 2 ,일/중/아시아,944
281,BBC,0.0,서울특별시 성동구 뚝섬로 413 ,카페/디저트,704
282,캘리소프트서브,0.0,서울특별시 성동구 서울숲2길 45 ,카페/디저트,759
283,일구공 ,0.0,서울특별시 성동구 서울숲길 37 ,양식,1492
284,단일서울,0.0,서울특별시 성동구 왕십리로 66-33 ,카페/디저트,1128
285,천상가옥,0.0,서울특별시 성동구 성수이로14길 14,카페/디저트,443
286,쿠소이 ,0.0,서울특별시 성동구 성수이로16길 50 ,카페/디저트,1349
287,티룸,0.0,서울특별시 성동구 서울숲길 52,카페/디저트,590
288,그린랩,0.0,서울특별시 성동구 서울숲2길 18-11,카페/디저트,867
289,파르코,0.0,서울특별시 성동구 서울숲2길 44 ,양식,2292
290,어페어 커피,0.0,서울특별시 성동구 성수이로6길 11 ,카페/디저트,883
291,5to7,0.0,서울특별시 성동구 서울숲2길 44-13 ,카페/디저트,963
292,다포케,0.0,서울특별시 성동구 연무장길 41 ,일/중/아시아,1755
293,잇샐러드,0.0,서울특별시 성동구 성수일로8길 28 ,일/중/아시아,608
294,매니페스트,0.0,서울특별시 성동구 성수이로22길 37 ,카페/디저트,715
295,가비당,0.0,서울특별시 성동구 상원12길 19 ,카페/디저트,1323
296,산골막국수,0.0,서울특별시 성동구 왕십리로6길 5,한식,1209
297,나누리잡화점,0.0,서울특별시 성동구 연무장길 47 ,나이트라이프,387
298,쑤쑤타이,0.0,서울 성동구 상원1길 12,일/중/아시아,1748
299,카페 포제,0.0,서울 성동구 연무장9길 7,카페/디저트,739
300,도렐 육지3호점,0.0,서울특별시 성동구 연무장7길 11,카페/디저트,846
301,카우앤독,0.0,서울특별시 성동구 왕십리로2길 20 ,카페/디저트,917
302,포피나,0.0,서울특별시 성동구 서울숲2길 13 ,양식,582
303,시나본 서울숲점,0.0,서울특별시 성동구 서울숲2길 32-14 갤러리아 포레 ,카페/디저트,1031
304,토라식당,0.0,서울 성동구 연무장7가길 6-1,일/중/아시아,2207
305,새촌131,0.0,서울특별시 성동구 성수일로3길 7-1,카페/디저트,1019
306,아울림,0.0,서울특별시 성동구 서울숲4길 26 ,양식,1832
307,머스트컴,0.0,서울특별시 성동구 왕십리로4길 13 ,카페/디저트,796
308,아비뚜에,0.0,서울특별시 성동구 성덕정3길 10-1 ,양식,936
309,제일,0.0,서울특별시 성동구 왕십리로10길 9-9,나이트라이프,949
310,르베지왕,0.0,서울 성동구 왕십리로2길 30,한식,1353
311,하노이102,0.0,서울특별시 성동구 서울숲6길 18,일/중/아시아,316
312,권식족발,0.0,서울특별시 성동구 아차산로7길 4 ,고기,730
313,한서칼국수,0.0,서울특별시 성동구 연무장7길 16,한식,894
314,황금어장,0.0,서울 성동구 아차산로 96,씨푸드,1231
315,심마니약초백숙,0.0,서울특별시 성동구 성덕정13길 4,고기,1129
316,서울맛집,0.0,서울특별시 성동구 성덕정15길 6-9,한식,2093
317,카페 오롯,0.0,서울 성동구 상원6나길 7,카페/디저트,810
318,유가츠,0.0,서울특별시 성동구 성수동1가 668-89 ,일/중/아시아,568
319,haru&oneday,0.0,서울특별시 성동구 아차산로 92 광명타워 ,카페/디저트,531
320,사흘카레,0.0,서울 성동구 상원4길 4,일/중/아시아,765
321,어메이징브루잉컴퍼니,4.6,인천광역시 연수구 송도과학로16번길 33-3 송도 트리플스트리트 ,나이트라이프,1329
322,서산식당,0.0,서울특별시 성동구 아차산로13길 6,한식,1914
323,미도,0.0,서울특별시 성동구 아차산로 113,일/중/아시아,5584
324,뚜르띠에르,3.5,서울특별시 성동구 왕십리로2길 30,카페/디저트,561
325,리브나,3.0,서울특별시 성동구 뚝섬로 366-46 ,나이트라이프,782
326,치즈포레스트,3.5,서울특별시 성동구 뚝섬로3길 9,양식,408
327,쏘심플,3.5,서울특별시 성동구 연무장길 37-7 ,나이트라이프,348
328,쵸리상경 ,3.0,서울특별시 성동구 서울숲4길 18-8 ,한식,3677
329,빵샘 뚝섬본점,4.0,서울특별시 성동구 뚝섬로1길 63,카페/디저트,1014
330,키베이커리,3.0,서울특별시 성동구 성수일로 11-2 ,카페/디저트,671
331,희정보감족,3.0,서울특별시 성동구 상원2길 1,고기,506
332,오븟,3.0,서울특별시 강남구 언주로152길 11-5,일/중/아시아,1690
333,데판야끼현,3.0,서울 성동구 상원10길 9,일식/중식/세계음식,888
334,삽다리곱창,4.0,서울 성동구 상원길 17,고기,1706
335,푸르너스가든 서울숲점,3.5,서울특별시 성동구 서울숲2길 46-9 ,카페/디저트,1232
336,에코랑속초면옥,4.0,,한식,1964
337,모멘토 키친,4.0,서울특별시 송파구 송파대로43길 9 1층,양식,777
338,바 포스트스크립트,0.0,서울특별시 성동구 연무장17길 10 ,나이트라이프,6
339,캐스터네츠 서울숲점,0.0,서울특별시 성동구 서울숲2길 32-14,양식,43
340,누메로씽꼬,0.0,서울특별시 성동구 성수일로 33 ,양식,118
